theta1,theta2,gamma4,gamma1,gamma2,gamma3,l1
0.0,0.0,1.8104093257975078,0.7824886814263363,0.8930729544266338,0.7667152801127124,174.823389222484
0.0,0.0,1.8636566589091992,0.7895015135502278,0.8922420577259751,0.755327120198017,173.82289747724246
0.0,0.0,1.9169039920208906,0.7960467004824756,0.8914299365546036,0.7437043174561244,172.8897413992558
0.0,0.0,1.970151325132582,0.802113179179372,0.8906463163571138,0.7318802591192027,172.02539284754187
0.0,0.0,2.0233986582442736,0.8076900888624915,0.8899002376228512,0.7198883870945404,171.2312895348823
0.0,0.0,2.076645991355965,0.8127667432757243,0.8892000718832228,0.707762229449877,170.50884177692893
0.0,0.0,2.1298933244676563,0.8173326095930651,0.8885535339340666,0.6955354272046168,169.85943819954193
0.0,0.0,2.1831406575793477,0.8213772946600586,0.8879676897104176,0.6832417555212282,169.28445030610862
0.0,0.0,2.236387990691039,0.8248905392652278,0.8874489593855336,0.6709151383919956,168.78523578711153
0.0,0.0,2.2896353238027305,0.8278622214401227,0.8870031150897132,0.6585896556481944,168.36314043802753
0.0,0.0,2.342882656914422,0.8302823696636396,0.8866352729183946,0.646299541183584,168.01949852999957
0.0,0.0,2.3961299900261133,0.8321411872371577,0.8863498786196683,0.6340791709023624,167.75563146203538
0.0,0.0,2.4493773231378047,0.8334290888635105,0.886150686726836,0.6219630390142542,167.57284450285226
0.0,0.0,2.502624656249496,0.8341367508663411,0.886040732601906,0.6099857208777374,167.4724214171762
0.0,0.0,2.5558719893611874,0.8342551762511947,0.8860222972140973,0.5981818206751561,167.4556167566198
0.0,0.0,2.609119322472879,0.8337757761320209,0.8860968642497242,0.5865859018328727,167.52364558819437
0.0,0.0,2.66236665558457,0.8326904685276544,0.8862650697562605,0.5752323983883756,167.67767043170025
0.0,0.0,2.7156139886962616,0.8309917960653413,0.8865266440480379,0.5641555049768653,167.91878518579682
0.0,0.0,2.768861321807953,0.8286730632376993,0.8868803465152427,0.553389043703264,168.24799584350012
0.0,0.0,2.8221086549196444,0.8257284942480193,0.8873238935772464,0.5429663057910145,168.66619783298793
0.0,0.0,2.875355988031336,0.8221534114761615,0.8878538809362184,0.5329198666384743,169.17414987712047
0.0,0.0,2.9286033211430276,0.8179444343618785,0.8884657013745075,0.523281373116211,169.77244434371175
0.0,0.0,2.981850654254719,0.8130996976527178,0.889153459945026,0.5140813026889951,170.46147416536002
0.0,0.0,3.0350979873664103,0.8076190870444239,0.8899098889745775,0.5053486948442015,171.24139654438437
0.0,0.0,3.0883453204781017,0.8015044891860879,0.8907262658938874,0.49711085642733,172.11209382612995
0.0,0.0,3.141592653589793,0.7947600517741636,0.8915923375701507,0.4893930438867848,173.07313212268176
0.0,0.05324733311169141,0.0,0.3793634234618897,0.8445917020334001,0.8019848584152246,229.66804408937068
0.0,0.05324733311169141,0.05324733311169141,0.38948335750780133,0.8509624041918991,0.8156001786492157,228.29828607258762
0.0,0.05324733311169141,0.10649466622338281,0.40019608180495453,0.8572667685402181,0.8285425402820435,226.83994226571642
0.0,0.05324733311169141,0.15974199933507421,0.41143925880234694,0.8634212905080099,0.8407092484883372,225.30083340584852
0.0,0.05324733311169141,0.21298933244676563,0.4231493853133142,0.8693543905140784,0.8520142140229013,223.68921951100904
0.0,0.05324733311169141,0.26623666555845704,0.43526313770001823,0.8750071887405613,0.8623884213642686,222.01360389071857
0.0,0.05324733311169141,0.31948399867014843,0.4477184795296552,0.8803335078255954,0.8717795180334494,220.28255688879366
0.0,0.05324733311169141,0.37273133178183987,0.4604555127536304,0.8852992710390425,0.8801507427077503,218.50456640914445
0.0,0.05324733311169141,0.42597866489353126,0.4734170810533831,0.8898814778397204,0.8874794166819372,216.68791816271292
0.0,0.05324733311169141,0.47922599800522264,0.48654915241844543,0.8940669267459385,0.8937552010492122,214.84060532051868
0.0,0.05324733311169141,0.5324733311169141,0.4998010177382116,0.8978508277449585,0.8989782836345322,212.97026504695867
0.0,0.05324733311169141,0.5857206642286055,0.5131253446740854,0.9012354128418987,0.9031576166268455,211.08413814110506
0.0,0.05324733311169141,0.6389679973402969,0.5264781244020816,0.904228619409434,0.9063092843782493,209.18904757474928
0.0,0.05324733311169141,0.6922153304519882,0.5398185435825389,0.9068428926924689,0.9084550471569189,207.2913917807103
0.0,0.05324733311169141,0.7454626635636797,0.5531088083578366,0.9090941305508473,0.9096210798858491,205.39714897220875
0.0,0.05324733311169141,0.7987099966753711,0.5663139411348346,0.9110007770993278,0.9098369065699353,203.51188933612266
0.0,0.05324733311169141,0.8519573297870625,0.5794015653986633,0.9125830610063994,0.9091345194332405,201.64079254007214
0.0,0.05324733311169141,0.9052046628987539,0.5923416895075033,0.9138623672132681,0.9075476647806657,199.78866857267215
0.0,0.05324733311169141,0.9584519960104453,0.6051064966840337,0.9148607275544985,0.9051112747746709,197.95998042669564
0.0,0.05324733311169141,1.0116993291221368,0.6176701455769259,0.9156004146656345,0.9018610239108317,196.15886754194582
0.0,0.05324733311169141,1.0649466622338282,0.6300085839612589,0.9161036235167173,0.8978329897386294,194.38916926112648
0.0,0.05324733311169141,1.1181939953455196,0.642099376538789,0.9163922262357349,0.8930633994824128,192.65444779410527
0.0,0.05324733311169141,1.171441328457211,0.6539215469462011,0.9164875872608895,0.8875884463396485,190.95801037734054
0.0,0.05324733311169141,1.2246886615689023,0.6654554334324099,0.9164104275762089,0.8814441616048476,189.3029304480765
0.0,0.05324733311169141,1.2779359946805937,0.6766825572946344,0.9161807284525995,0.8746663309983443,187.6920677462187
0.0,0.05324733311169141,1.331183327792285,0.6875855030507071,0.915817666571011,0.8672904455179989,186.12808732217047
0.0,0.05324733311169141,1.3844306609039765,0.6981478091861538,0.915339573880522,0.8593516789875207,184.61347746507946
0.0,0.05324733311169141,1.437677994015668,0.7083538684431655,0.9147639166106942,0.8508848858728828,183.15056659254918
0.0,0.05324733311169141,1.4909253271273595,0.7181888366018965,0.9141072889865275,0.8419246143037824,181.74153914978254
0.0,0.05324733311169141,1.5441726602390509,0.7276385489234729,0.9133854179100058,0.8325051301667965,180.38845057213143
0.0,0.05324733311169141,1.5974199933507423,0.7366894434491875,0.9126131756925997,0.82266044908856,179.09324135767022
0.0,0.05324733311169141,1.6506673264624336,0.7453284905943826,0.911804598363726,0.8124243736970922,177.85775029239858
0.0,0.05324733311169141,1.703914659574125,0.7535431285479773,0.9109729076171065,0.8018305341507971,176.68372685811426
0.0,0.05324733311169141,1.7571619926858164,0.761321204115897,0.9101305348321759,0.7909124303440102,175.57284284105634
0.0,0.05324733311169141,1.8104093257975078,0.7686509188661013,0.9092891458000321,0.7797034744307447,174.52670314868507
0.0,0.05324733311169141,1.8636566589091992,0.7755207805330416,0.9084596650475082,0.7682370325678453,173.5468558267901
0.0,0.05324733311169141,1.9169039920208906,0.7819195596577815,0.9076522989474805,0.7565464650291058,172.63480125225698
0.0,0.05324733311169141,1.970151325132582,0.7878362517738672,0.9068765567039843,0.7446651637506478,171.79200046665588
0.0,0.05324733311169141,2.0233986582442736,0.7932600453891916,0.9061412686041928,0.7326265865760327,171.01988259571382
0.0,0.05324733311169141,2.076645991355965,0.7981802962342188,0.9054546008926297,0.7204642873821038,170.31985128576815
0.0,0.05324733311169141,2.1298933244676563,0.8025865083741901,0.9048240666709536,0.7082119412271288,169.69329007106435
0.0,0.05324733311169141,2.1831406575793477,0.8064683228049235,0.9042565323683637,0.6959033636751528,169.14156656660325
0.0,0.05324733311169141,2.236387990691039,0.8098155144375926,0.9037582191781426,0.683572523215998,168.66603536548274
0.0,0.05324733311169141,2.2896353238027305,0.812617998314777,0.9033346990676613,0.6712535457292932,168.26803949829605
0.0,0.05324733311169141,2.342882656914422,0.8148658461286447,0.9029908848653666,0.6589807097060838,167.94891029516674
0.0,0.05324733311169141,2.3961299900261133,0.8165493142414101,0.9027310139289884,0.6467884307731796,167.70996547228106
0.0,0.05324733311169141,2.4493773231378047,0.817658884314876,0.9025586251181982,0.6347112340521839,167.55250524615076
0.0,0.05324733311169141,2.502624656249496,0.8181853179827694,0.9024765285807855,0.6227837125276339,167.4778062657237
